Broods,Eggs,Fledglings,95% CI,Species,Year,Broods,Eggs,Fledglings,95% CI,Species,Year,Broods,Eggs,Fledglings,95% CI,Species,Year,Broods,Eggs,Fledglings,95% CI,Species,Year
1,3.6,1.6,0.2,scandens,El Nino,1,3,1.9,0,scandens,Non Nino,1,3.9,2.7,0,fortis,El Nino,1,3.1,1.4,0,fortis,Non Nino
2,4.3,2.4,0.3,scandens,El Nino,2,3.1,1.8,0.3,scandens,Non Nino,2,4.4,2.8,0,fortis,El Nino,2,3.3,2,0.2,fortis,Non Nino
3,4,1.9,0.3,scandens,El Nino,3,3.1,1.5,0.1,scandens,Non Nino,3,4,2.1,0,fortis,El Nino,3,3.2,1.2,0,fortis,Non Nino
4,3.9,2.6,0.4,scandens,El Nino,4,,,,scandens,Non Nino,4,3.6,2.6,0.2,fortis,El Nino,4,2.5,0.3,0.2,fortis,Non Nino
5,3.8,0.4,0,scandens,El Nino,5,,,,scandens,Non Nino,5,3.5,1,0,fortis,El Nino,5,,,,fortis,Non Nino
6,3.4,0.8,0,scandens,El Nino,6,,,,scandens,Non Nino,6,3,1.4,0,fortis,El Nino,6,,,,fortis,Non Nino
7,3.4,1,0.4,scandens,El Nino,7,,,,scandens,Non Nino,7,3.4,0.6,0,fortis,El Nino,7,,,,fortis,Non Nino
8,3.5,1.7,0.4,scandens,El Nino,8,,,,scandens,Non Nino,8,3.4,2.5,0.5,fortis,El Nino,8,,,,fortis,Non Nino
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,, , ,,,,,,,,,,,,,,,,,,
