Year,Temp
2015,8.017734603
2016,8.824386191
2017,12.27497793
2018,9.231713365
2019,8.402098004
2020,11.92604703
2021,10.57849529
2022,6.973271888
2023,13.15136975
2024,15.48387598
2025,9.570738078
2026,8.075483342
2027,8.424174885
2028,10.75773961
2029,11.41962508
2030,11.17630876
2031,5.833093634
2032,6.907723384
2033,9.269612094
2034,6.618626995
2035,5.849782882
2036,10.54904438
2037,10.50762044
2038,9.719250732
2039,12.74764585
2040,15.04930629
2041,8.558815839
2042,9.559857377
2043,8.851866549
2044,4.822895905
2045,8.766851268
2046,11.70557612
2047,19.83860196
2048,12.97716007
2049,9.248451963
2050,9.076040544
2051,7.118255437
2052,10.16216999
2053,9.33458638
2054,9.996768261
2055,9.152146497
2056,10.55434036
2057,11.30920149
2058,14.9551316
2059,10.86784263
2060,11.89865228
2061,11.15085077
2062,10.99485226
2063,8.09657861
2064,12.39356297
2065,11.51539833
2066,10.68231751
2067,8.291993798
2068,13.8083877
2069,26.34520251
2070,14.58323377
2071,10.25171364
2072,11.40293084
2073,10.0702815
2074,9.776591357
2075,17.70073185
2076,10.55672301
2077,10.79524912
2078,13.35232044
2079,18.23156561
2080,9.400817876
2081,9.005423453
2082,10.03604032
2083,11.27713271
2084,7.155889791
2085,9.08743161
2086,10.96548404
2087,12.14921491
2088,22.31435534
2089,11.33452422
2090,11.04107584
2091,12.8986309
2092,10.96342956
2093,11.5122594
2094,13.05019879
2095,10.00412545
2096,12.23559019
2097,9.645383187
2098,9.735473222
2099,8.960921429
2100,8.295577191
